timestamp,token,poolAddress,price,liquidity,volume
1754291010349,So11111111111111111111111111111111111111112,FakePool0,162.315567,,
1754291025125,So11111111111111111111111111111111111111112,FakePool0,162.373687,,
1754291039898,So11111111111111111111111111111111111111112,FakePool0,162.300679,,
1754291054974,So11111111111111111111111111111111111111112,FakePool0,162.292862,,
1754291069895,So11111111111111111111111111111111111111112,FakePool0,162.284129,,
1754291084868,So11111111111111111111111111111111111111112,FakePool0,162.333057,,
1754291100031,So11111111111111111111111111111111111111112,FakePool0,162.341046,,
1754291115004,So11111111111111111111111111111111111111112,FakePool0,162.317399,,
1754291129909,So11111111111111111111111111111111111111112,FakePool0,162.294518,,
1754291144991,So11111111111111111111111111111111111111112,FakePool0,162.278117,,
1754291159976,So11111111111111111111111111111111111111112,FakePool0,162.313661,,
1754291174920,So11111111111111111111111111111111111111112,FakePool0,162.225611,,
1754291190051,So11111111111111111111111111111111111111112,FakePool0,162.251231,,
1754291205145,So11111111111111111111111111111111111111112,FakePool0,162.209572,,
1754291220000,So11111111111111111111111111111111111111112,FakePool0,162.181922,,
1754291235002,So11111111111111111111111111111111111111112,FakePool0,162.131127,,
1754291249909,So11111111111111111111111111111111111111112,FakePool0,162.143538,,
1754291264977,So11111111111111111111111111111111111111112,FakePool0,162.100144,,
1754291280019,So11111111111111111111111111111111111111112,FakePool0,162.143673,,
1754291294964,So11111111111111111111111111111111111111112,FakePool0,162.258737,,
1754291309944,So11111111111111111111111111111111111111112,FakePool0,162.226572,,
1754291325778,So11111111111111111111111111111111111111112,FakePool0,162.303961,,
1754291339999,So11111111111111111111111111111111111111112,FakePool0,162.26026,,
1754291354967,So11111111111111111111111111111111111111112,FakePool0,162.328555,,
1754291370058,So11111111111111111111111111111111111111112,FakePool0,162.349595,,
1754291385162,So11111111111111111111111111111111111111112,FakePool0,162.330218,,
1754291399975,So11111111111111111111111111111111111111112,FakePool0,162.372145,,
1754291415151,So11111111111111111111111111111111111111112,FakePool0,162.377843,,
1754291430122,So11111111111111111111111111111111111111112,FakePool0,162.399145,,
1754291444975,So11111111111111111111111111111111111111112,FakePool0,162.390056,,
1754291460112,So11111111111111111111111111111111111111112,FakePool0,162.474342,,
1754291475001,So11111111111111111111111111111111111111112,FakePool0,162.449274,,
1754291490071,So11111111111111111111111111111111111111112,FakePool0,162.535636,,
1754291505091,So11111111111111111111111111111111111111112,FakePool0,162.5499,,
1754291519959,So11111111111111111111111111111111111111112,FakePool0,162.574713,,
1754291535106,So11111111111111111111111111111111111111112,FakePool0,162.487474,,
1754291550042,So11111111111111111111111111111111111111112,FakePool0,162.462634,,
1754291564977,So11111111111111111111111111111111111111112,FakePool0,162.538776,,
1754291579978,So11111111111111111111111111111111111111112,FakePool0,162.526569,,
1754291595088,So11111111111111111111111111111111111111112,FakePool0,162.472287,,
1754291609979,So11111111111111111111111111111111111111112,FakePool0,162.491782,,
1754291624943,So11111111111111111111111111111111111111112,FakePool0,162.522087,,
1754291640195,So11111111111111111111111111111111111111112,FakePool0,162.541655,,
1754291654987,So11111111111111111111111111111111111111112,FakePool0,162.534185,,
1754291669991,So11111111111111111111111111111111111111112,FakePool0,162.543635,,
1754291685069,So11111111111111111111111111111111111111112,FakePool0,162.517277,,
1754291699994,So11111111111111111111111111111111111111112,FakePool0,162.548226,,
1754291715004,So11111111111111111111111111111111111111112,FakePool0,162.537204,,
1754291730060,So11111111111111111111111111111111111111112,FakePool0,162.599631,,
1754291745088,So11111111111111111111111111111111111111112,FakePool0,162.591457,,
1754291759981,So11111111111111111111111111111111111111112,FakePool0,162.556571,,
